Date,AAPL,AMZN,MSFT,NVDA,TSLA
2020-01-02,72.4005355834961,94.90049743652344,152.1584014892578,5.970754623413086,28.68400001525879
2020-01-03,71.6966323852539,93.74849700927734,150.26373291015625,5.875185966491699,29.534000396728516
2020-01-06,72.26793670654297,95.14399719238281,150.6521759033203,5.899825572967529,30.1026668548584
2020-01-07,71.92805480957031,95.34300231933594,149.27857971191406,5.971251487731934,31.270666122436523
2020-01-08,73.0851058959961,94.59850311279297,151.65628051757812,5.98245096206665,32.80933380126953
2020-01-09,74.63751220703125,95.05249786376953,153.55096435546875,6.048154830932617,32.089332580566406
2020-01-10,74.80621337890625,94.15799713134766,152.84051513671875,6.080507278442383,31.876667022705078
2020-01-13,76.40441131591797,94.56500244140625,154.6782684326172,6.271146297454834,34.990665435791016
2020-01-14,75.3727035522461,93.47200012207031,153.5888671875,6.154176235198975,35.861331939697266
2020-01-15,75.04969787597656,93.10099792480469,154.5835418701172,6.111618518829346,34.56666564941406
2020-01-16,75.98981475830078,93.89700317382812,157.41603088378906,6.195239067077637,34.232666015625
2020-01-17,76.8310775756836,93.23600006103516,158.2969970703125,6.20395040512085,34.03333282470703
2020-01-21,76.31040954589844,94.5999984741211,157.72860717773438,6.170601844787598,36.47999954223633
2020-01-22,76.58280181884766,94.37300109863281,156.9707489013672,6.224606037139893,37.97066879272461
2020-01-23,76.95162200927734,94.22899627685547,157.93707275390625,6.293046474456787,38.14666748046875
2020-01-24,76.72982788085938,93.08200073242188,156.34556579589844,6.233815670013428,37.654666900634766
2020-01-27,74.47358703613281,91.41699981689453,153.73092651367188,5.977972507476807,37.201332092285156
2020-01-28,76.58041381835938,92.6624984741211,156.74342346191406,6.1713480949401855,37.793331146240234
2020-01-29,78.18339538574219,92.9000015258789,159.1875,6.1108717918396,38.732666015625
2020-01-30,78.07009887695312,93.53399658203125,163.6777801513672,6.117591381072998,42.72066879272461
2020-01-31,74.60857391357422,100.43599700927734,161.26214599609375,5.884146213531494,43.371334075927734
2020-02-03,74.40369415283203,100.20999908447266,165.1935577392578,5.981206893920898,52.0
2020-02-04,76.8600082397461,102.4834976196289,170.631103515625,6.150441646575928,59.137332916259766
2020-02-05,77.48674774169922,101.99349975585938,170.42269897460938,6.240784168243408,48.97999954223633
2020-02-06,78.39311218261719,102.5114974975586,173.9562225341797,6.327640056610107,49.930667877197266
2020-02-07,77.32752990722656,103.96399688720703,174.2025146484375,6.261440277099609,49.871334075927734
2020-02-10,77.6948013305664,106.69550323486328,178.75914001464844,6.5446600914001465,51.41866683959961
2020-02-11,77.22604370117188,107.54000091552734,174.72357177734375,6.6671061515808105,51.62533187866211
2020-02-12,79.06000518798828,108.0,174.97933959960938,6.782832622528076,51.15266799926758
2020-02-13,78.49701690673828,107.49349975585938,174.031982421875,6.7390313148498535,53.599998474121094
2020-02-14,78.5163345336914,106.74349975585938,175.58558654785156,7.2121429443359375,53.33533477783203
2020-02-18,77.07864379882812,107.78350067138672,177.36654663085938,7.3808794021606445,57.22666549682617
2020-02-19,78.1949691772461,108.51100158691406,177.8985137939453,7.832088947296143,61.16133117675781
2020-02-20,77.39276885986328,107.65499877929688,175.18179321289062,7.682764053344727,59.96066665649414
2020-02-21,75.6409912109375,104.79850006103516,169.643798828125,7.318660736083984,60.06666564941406
2020-02-24,72.04801940917969,100.4645004272461,162.32952880859375,6.801248073577881,55.58599853515625
2020-02-25,69.60759735107422,98.63700103759766,159.65081787109375,6.521762847900391,53.32733154296875
2020-02-26,70.71179962158203,98.97949981689453,161.64559936523438,6.661133289337158,51.91999816894531
2020-02-27,66.0895004272461,94.21499633789062,150.25619506835938,6.290337085723877,45.266666412353516
2020-02-28,66.05085754394531,94.1875,153.89434814453125,6.725380897521973,44.53266525268555
2020-03-02,72.20023345947266,97.69750213623047,164.13438415527344,6.88375997543335,49.574668884277344
2020-03-03,69.90721130371094,95.44950103759766,156.2690887451172,6.621288776397705,49.70066833496094
2020-03-04,73.14984130859375,98.79149627685547,162.00657653808594,7.084970951080322,49.96666717529297
2020-03-05,70.77706909179688,96.20149993896484,157.94097900390625,6.80556583404541,48.30266571044922
2020-03-06,69.83711242675781,95.05449676513672,153.47640991210938,6.625022888183594,46.89866638183594
2020-03-09,64.31358337402344,90.03050231933594,143.07493591308594,6.112037658691406,40.53333282470703
2020-03-10,68.94554901123047,94.59100341796875,152.85894775390625,6.501509189605713,43.02199935913086
2020-03-11,66.55103302001953,91.04299926757812,145.9341583251953,6.137686252593994,42.28200149536133
2020-03-12,59.978797912597656,83.83049774169922,132.093994140625,5.386630058288574,37.369998931884766
2020-03-13,67.16476440429688,89.25,150.8736572265625,5.997485160827637,36.44133377075195
2020-03-16,58.52421188354492,84.4574966430664,128.63633728027344,4.890823841094971,29.67133331298828
2020-03-17,61.097537994384766,90.39199829101562,139.2278289794922,5.410536289215088,28.68000030517578
2020-03-18,59.601863861083984,91.5,133.3668975830078,5.050696849822998,24.08133316040039
